net,length_um
net14,1.23497mm
net15,1.09888mm
net5,379.74µm
net47,268.84µm
net10,264.74µm
clknet_0_B_in_serial_clk,257.99µm
clknet_0_A_in_serial_clk,257.42µm
net11,222.055µm
net12,188.36µm
net647,185.84µm
net40,185.76µm
net27,182.14µm
clknet_2_1__leaf_clk,150.86µm
net728,150.08µm
net17,142.97µm
net809,142.96µm
_0435_,141.84µm
_0436_,140.76µm
net730,138.39µm
net845,135.37µm
A_in_serial_clk,131.5µm
net732,131.16µm
net19,129.92µm
net735,122.32µm
net808,118.32µm
net640,112.68µm
clknet_2_3__leaf_clk,112.46µm
net643,111.42µm
net18,111.37µm
clknet_2_2__leaf_clk,111.05µm
_0501_,109.72µm
clknet_2_0__leaf_clk,103.68µm
clknet_4_10_0_A_in_serial_clk,101.6µm
net641,100.9µm
net734,98.87µm
net769,98.86µm
clknet_4_5_0_B_in_serial_clk,96.74µm
net44,96.56µm
net1,90.44µm
clknet_4_4_0_A_in_serial_clk,89.02µm
net22,88.62µm
clknet_4_7_0_A_in_serial_clk,87.82µm
clknet_4_0_0_A_in_serial_clk,85.98µm
clknet_4_1_0_A_in_serial_clk,84.94µm
clknet_4_2_0_B_in_serial_clk,83.06µm
net642,81.34µm
clknet_4_13_0_B_in_serial_clk,80.78µm
clknet_4_15_0_B_in_serial_clk,80.68µm
net740,80.5µm
clknet_4_4_0_B_in_serial_clk,79.6µm
clknet_4_2_0_A_in_serial_clk,78.96µm
clknet_4_0_0_B_in_serial_clk,77.02µm
systolic_inst.ce_local,76.41µm
clknet_4_15_0_A_in_serial_clk,75.64µm
deser_B.receiving,75.355µm
B_in_serial_clk,75.16µm
net36,75.04µm
net45,74.79µm
_0348_,71.31µm
clknet_4_1_0_B_in_serial_clk,70.22µm
clknet_4_11_0_A_in_serial_clk,70.22µm
clknet_4_13_0_A_in_serial_clk,69.7µm
clknet_4_5_0_A_in_serial_clk,69.36µm
clknet_4_8_0_B_in_serial_clk,68.84µm
clknet_4_14_0_A_in_serial_clk,67.325µm
clknet_4_10_0_B_in_serial_clk,67.3µm
clknet_4_9_0_B_in_serial_clk,67.02µm
_0448_,66.9µm
clknet_4_7_0_B_in_serial_clk,66.76µm
_0426_,65.91µm
net24,64.44µm
net34,64.28µm
