Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_65_385,VGND,li1,183.3100,190.4000,0.000079
FILLER_65_377,VGND,li1,180.7800,190.4000,0.000079
FILLER_65_365,VGND,li1,176.1800,190.4000,0.000100
FILLER_65_362,VGND,li1,172.5000,190.4000,0.000129
FILLER_65_354,VGND,li1,170.2000,190.4000,0.000147
FILLER_65_342,VGND,li1,165.6000,190.4000,0.000183
FILLER_65_334,VGND,li1,159.6200,190.4000,0.000239
FILLER_65_329,VGND,li1,157.0900,190.4000,0.000252
FILLER_65_325,VGND,li1,155.9400,190.4000,0.000252
FILLER_65_309,VGND,li1,148.1200,190.4000,0.000302
FILLER_65_306,VGND,li1,146.7400,190.4000,0.000302
FILLER_65_296,VGND,li1,142.3700,190.4000,0.000320
FILLER_65_288,VGND,li1,139.8400,190.4000,0.000328
FILLER_65_277,VGND,li1,133.6300,190.4000,0.000338
FILLER_65_265,VGND,li1,130.1800,190.4000,0.000337
FILLER_65_261,VGND,li1,125.8100,190.4000,0.000336
FILLER_65_253,VGND,li1,123.7400,190.4000,0.000335
FILLER_65_249,VGND,li1,120.7500,190.4000,0.000334
FILLER_65_237,VGND,li1,115.2300,190.4000,0.000331
FILLER_65_225,VGND,li1,111.7800,190.4000,0.000328
FILLER_65_221,VGND,li1,107.8700,190.4000,0.000325
FILLER_65_209,VGND,li1,104.4200,190.4000,0.000322
FILLER_65_197,VGND,li1,98.9000,190.4000,0.000317
FILLER_65_195,VGND,li1,95.4500,190.4000,0.000314
FILLER_65_185,VGND,li1,90.8500,190.4000,0.000305
FILLER_65_181,VGND,li1,89.7000,190.4000,0.000305
FILLER_65_169,VGND,li1,86.0200,190.4000,0.000298
FILLER_65_167,VGND,li1,82.5700,190.4000,0.000290
FILLER_65_157,VGND,li1,77.9700,190.4000,0.000274
FILLER_65_153,VGND,li1,76.8200,190.4000,0.000274
FILLER_65_141,VGND,li1,73.1400,190.4000,0.000261
FILLER_65_125,VGND,li1,64.4000,190.4000,0.000228
FILLER_65_113,VGND,li1,60.2600,190.4000,0.000208
FILLER_65_109,VGND,li1,56.3500,190.4000,0.000190
FILLER_65_97,VGND,li1,52.9000,190.4000,0.000174
FILLER_65_85,VGND,li1,47.3800,190.4000,0.000149
FILLER_65_81,VGND,li1,43.4700,190.4000,0.000131
FILLER_65_69,VGND,li1,40.0200,190.4000,0.000115
FILLER_65_57,VGND,li1,34.5000,190.4000,0.000089
FILLER_65_53,VGND,li1,30.5900,190.4000,0.000071
FILLER_65_41,VGND,li1,27.1400,190.4000,0.000055
FILLER_65_29,VGND,li1,21.6200,190.4000,0.000046
FILLER_65_27,VGND,li1,18.1700,190.4000,0.000046
FILLER_65_15,VGND,li1,15.1800,190.4000,0.000046
FILLER_65_3,VGND,li1,9.6600,190.4000,0.000046
FILLER_64_385,VGND,li1,183.3100,184.9600,0.000511
FILLER_64_377,VGND,li1,180.7800,184.9600,0.000511
FILLER_64_365,VGND,li1,176.1800,184.9600,0.000605
FILLER_64_352,VGND,li1,170.2000,184.9600,0.000910
FILLER_64_309,VGND,li1,148.3500,184.9600,0.001757
FILLER_64_248,VGND,li1,120.5200,184.9600,0.002224
FILLER_64_226,VGND,li1,109.9400,184.9600,0.002297
FILLER_64_195,VGND,li1,95.4500,184.9600,0.002262
FILLER_64_174,VGND,li1,85.7900,184.9600,0.002129
FILLER_64_168,VGND,li1,84.1800,184.9600,0.002089
FILLER_64_147,VGND,li1,73.3700,184.9600,0.001860
FILLER_64_141,VGND,li1,71.7600,184.9600,0.001860
FILLER_64_138,VGND,li1,69.4600,184.9600,0.001798
FILLER_64_117,VGND,li1,59.5700,184.9600,0.001509
FILLER_64_109,VGND,li1,57.5000,184.9600,0.001431
FILLER_64_97,VGND,li1,52.9000,184.9600,0.001283
FILLER_64_85,VGND,li1,47.3800,184.9600,0.001095
FILLER_64_83,VGND,li1,43.9300,184.9600,0.000923
FILLER_64_77,VGND,li1,42.3200,184.9600,0.000923
FILLER_64_65,VGND,li1,38.1800,184.9600,0.000783
FILLER_64_53,VGND,li1,32.6600,184.9600,0.000595
FILLER_64_41,VGND,li1,27.1400,184.9600,0.000408
FILLER_64_29,VGND,li1,21.6200,184.9600,0.000340
FILLER_64_27,VGND,li1,18.1700,184.9600,0.000340
FILLER_64_19,VGND,li1,16.1000,184.9600,0.000340
FILLER_63_387,VGND,li1,183.7700,184.9600,0.000511
FILLER_63_381,VGND,li1,182.1600,184.9600,0.000511
FILLER_63_369,VGND,li1,178.0200,184.9600,0.000511
