Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_65_385,VPWR,li1,183.3100,187.6800,1.799654
FILLER_65_377,VPWR,li1,180.7800,187.6800,1.799654
FILLER_65_365,VPWR,li1,176.1800,187.6800,1.799654
FILLER_65_362,VPWR,li1,172.5000,187.6800,1.799552
FILLER_65_354,VPWR,li1,170.2000,187.6800,1.799472
FILLER_65_342,VPWR,li1,165.6000,187.6800,1.799313
FILLER_65_334,VPWR,li1,159.6200,187.6800,1.799088
FILLER_65_329,VPWR,li1,157.0900,187.6800,1.799028
FILLER_65_325,VPWR,li1,155.9400,187.6800,1.799028
FILLER_65_309,VPWR,li1,148.1200,187.6800,1.798834
FILLER_65_306,VPWR,li1,146.7400,187.6800,1.798834
FILLER_65_296,VPWR,li1,142.3700,187.6800,1.798747
FILLER_65_288,VPWR,li1,139.8400,187.6800,1.798720
FILLER_65_277,VPWR,li1,133.6300,187.6800,1.798642
FILLER_65_265,VPWR,li1,130.1800,187.6800,1.798614
FILLER_65_261,VPWR,li1,125.8100,187.6800,1.798579
FILLER_65_253,VPWR,li1,123.7400,187.6800,1.798569
FILLER_65_249,VPWR,li1,120.7500,187.6800,1.798554
FILLER_65_237,VPWR,li1,115.2300,187.6800,1.798530
FILLER_65_225,VPWR,li1,111.7800,187.6800,1.798528
FILLER_65_221,VPWR,li1,107.8700,187.6800,1.798526
FILLER_65_209,VPWR,li1,104.4200,187.6800,1.798524
FILLER_65_197,VPWR,li1,98.9000,187.6800,1.798550
FILLER_65_195,VPWR,li1,95.4500,187.6800,1.798565
FILLER_65_185,VPWR,li1,90.8500,187.6800,1.798599
FILLER_65_181,VPWR,li1,89.7000,187.6800,1.798599
FILLER_65_169,VPWR,li1,86.0200,187.6800,1.798645
FILLER_65_167,VPWR,li1,82.5700,187.6800,1.798682
FILLER_65_157,VPWR,li1,77.9700,187.6800,1.798753
FILLER_65_153,VPWR,li1,76.8200,187.6800,1.798753
FILLER_65_141,VPWR,li1,73.1400,187.6800,1.798819
FILLER_65_125,VPWR,li1,64.4000,187.6800,1.798981
FILLER_65_113,VPWR,li1,60.2600,187.6800,1.799074
FILLER_65_109,VPWR,li1,56.3500,187.6800,1.799137
FILLER_65_97,VPWR,li1,52.9000,187.6800,1.799203
FILLER_65_85,VPWR,li1,47.3800,187.6800,1.799310
FILLER_65_81,VPWR,li1,43.4700,187.6800,1.799407
FILLER_65_69,VPWR,li1,40.0200,187.6800,1.799452
FILLER_65_57,VPWR,li1,34.5000,187.6800,1.799558
FILLER_65_53,VPWR,li1,30.5900,187.6800,1.799634
FILLER_65_41,VPWR,li1,27.1400,187.6800,1.799700
FILLER_65_29,VPWR,li1,21.6200,187.6800,1.799807
FILLER_65_27,VPWR,li1,18.1700,187.6800,1.799807
FILLER_65_15,VPWR,li1,15.1800,187.6800,1.799807
FILLER_65_3,VPWR,li1,9.6600,187.6800,1.799807
FILLER_64_385,VPWR,li1,183.3100,187.6800,1.799654
FILLER_64_377,VPWR,li1,180.7800,187.6800,1.799654
FILLER_64_365,VPWR,li1,176.1800,187.6800,1.799654
FILLER_64_352,VPWR,li1,170.2000,187.6800,1.799472
FILLER_64_309,VPWR,li1,148.3500,187.6800,1.798834
FILLER_64_248,VPWR,li1,120.5200,187.6800,1.798554
FILLER_64_226,VPWR,li1,109.9400,187.6800,1.798527
FILLER_64_195,VPWR,li1,95.4500,187.6800,1.798565
FILLER_64_174,VPWR,li1,85.7900,187.6800,1.798645
FILLER_64_168,VPWR,li1,84.1800,187.6800,1.798682
FILLER_64_147,VPWR,li1,73.3700,187.6800,1.798819
FILLER_64_141,VPWR,li1,71.7600,187.6800,1.798873
FILLER_64_138,VPWR,li1,69.4600,187.6800,1.798915
FILLER_64_117,VPWR,li1,59.5700,187.6800,1.799074
FILLER_64_109,VPWR,li1,57.5000,187.6800,1.799137
FILLER_64_97,VPWR,li1,52.9000,187.6800,1.799203
FILLER_64_85,VPWR,li1,47.3800,187.6800,1.799310
